ID,pop,PointX,PointY
203,10,64769.12109,46646.24219
204,27,64416.25,46623.10938
205,4,62017.35938,46937.12109
206,4,61878.08984,46955.5
207,26,63857.82813,46967.46875
208,2,63117.75,46989.50781
209,27,64483.55469,46966.99609
210,4,62529.52734,46975.17188
211,19,65160.89453,46972.35938
212,22,64845.42188,46972.34766
213,4,61530.15234,46966.21875
214,18,63691.44531,46993.94141
215,6,61645.66016,46996.96484
216,14,63460.83594,47063.10547
217,15,62893.87109,47054.30078
218,4,61474.79297,47072.84766
219,10,63292.01172,47070.45703
220,19,63574.13281,47067.64844
221,41,64170.05078,47039.48438
222,9,62159.13281,47069.8125
223,26,63902.78516,47141.33984
224,10,63512.11719,47186.40625
225,11,63711.36328,47164.79688
226,7,61764.85156,47049.47266
227,14,62606.125,47107.56641
228,9,63937.36719,47264.62891
229,23,65165.57422,47209.69141
230,9,64613.00391,47227.77734
231,31,64846.03516,47233.97266
232,10,64889.17188,46701.08594
233,2,62509.25781,46687.68359
234,6,63006.86328,46704.00781
235,6,63319.73047,46730.42188
236,24,64162.70313,46686.14453
237,4,63533.87891,46753.32813
238,7,63245.52344,46920.19531
239,3,63602.93359,46919.65234
240,7,63964.80469,46928.02734
241,5,63487.83984,46918.45313
242,4,62911.15234,46915.21484
243,3,62745.76563,46932.53125
244,3,62207.74219,46932.38672
245,4,62386.85938,46951.47266
246,14,64493.60547,47227.52734
247,11,64369.21094,47231.35156
248,20,63234.36328,47257.33203
249,16,63063.39844,47124.48438
250,5,62963.54688,47252.53125
251,14,63566.79297,47312.95703
252,8,63453.85547,47312.41406
253,14,62839.84375,47285.39844
254,7,63761.72266,47361.18359
255,14,63709.01563,47295.25391
256,11,64848.85938,47439.03906
257,28,63915.75781,47401.03125
258,11,62878.52734,47484.58203
259,11,61566.46094,47372.21484
260,12,65547.86719,47260.12109
261,5,61461.91016,47351.89844
262,13,63933.90234,47552.58203
263,44,64173.1875,47412.42969
264,22,63728.49219,47507.375
265,15,65140.17578,47515.89844
266,5,64913.86328,47578.22266
267,14,61723.74609,47382.66406
268,7,64753.54688,47567.14844
269,19,63249.19531,47517
270,12,64573.61719,47521.41016
271,13,64405.77734,47527.42578
272,5,61589.82422,47623.05859
273,6,64163.83203,47654.83594
274,7,62635.45313,47624.54297
275,8,63973.63281,47666.48047
276,8,63861.51563,47670.69141
277,4,61987.23047,47692.12109
278,14,63722.23828,47677.92188
279,122,62281.85938,47428.17188
280,8,62922.45703,47760.63281
281,3,62805.08203,47845.07813
282,7,63602.39063,47875.19531
283,3,62400.64844,47877.23047
284,3,62627.60547,47864.71484
285,10,64382.23438,47846.48828
286,7,61639.01563,47877.69922
287,9,64162.69922,47857.70313
288,15,65229.76172,47818.64063
289,4,64543.39063,47910.00391
290,12,64989.91797,47848.02344
291,9,63864.04688,47926.73047
292,7,62429.67578,47942.91797
293,7,63583.44141,47978.67578
294,9,64877.60938,47903.66016
295,7,62899.84375,47971.10156
296,10,62170.96094,47944.58984
297,1,62760.01172,47987.3125
298,6,64784.32031,47945.06641
299,5,64376.87109,47988.53906
300,14,61983.77734,47956.90234
301,8,64675.31641,47956.46875
302,10,63245.15625,47943.20703
303,9,61833.08984,47975.91406
304,4,64567.10938,48045.34766
305,9,64149.14844,48024.46484
306,17,61663.00391,48039.07031
307,4,63913.55859,48086.34766
308,6,63649.60156,48111.73438
309,8,64407.70703,48097.58984
310,13,63299.22266,48060.76953
311,10,62222.28125,48145.10938
312,4,61924.08594,48174.84766
313,5,63793.66406,48134.10547
314,8,64170.07031,48171.27734
315,7,63495.32422,48159.64844
316,4,63654.17188,48245.67578
317,6,63903.75,48247.94922
318,17,62890.44141,48188.19922
319,11,62285.51563,48301.77344
320,7,63021.04688,48136.03125
321,15,61720.92969,48319.87109
322,10,63589.42188,48351.30469
323,5,62926.89063,48394.6875
324,14,63332.60547,48323.60938
