ID,Pop,x,y,Input_FID
388,603,19685227.27,3834292.22,1157
389,545,19683524.22,3833520.438,487
390,545,19683227.68,3833774.208,486
391,545,19683434.25,3834097.005,485
392,481,19684455.01,3834313.199,484
393,545,19684089.46,3834502.21,483
394,481,19685272.56,3834798.179,481
395,679,19683013.12,3834331.065,1155
396,409,19681330.18,3834508.76,479
397,409,19681617.39,3834931.4,478
398,409,19681218.04,3834895.249,477
399,2395,19680099.91,3834875.817,468
400,336,19676736.44,3832853.667,1135
401,1158,19678387.35,3834614.632,1131
402,269,19676141.83,3832966.404,467
403,5100,19673907.89,3833571.649,1105
404,4086,19672677.02,3833384.512,1104
405,4000,19672800.81,3834659.304,1101
406,3541,19669603.83,3833558.935,1270
407,1462,19669062,3834756.416,1099
408,519,19667793.84,3833412.176,453
409,2373,19667624.74,3835183.709,1096
410,1151,19667510.68,3837129.06,408
411,2580,19669622.3,3836427.293,1113
412,3573,19678093,3836439.12,1267
413,8290,19676461.29,3834988.838,1130
414,1796,19680845.22,3835211.582,469
415,950,19682327.51,3837223.062,1127
416,760,19683045.91,3836527.664,474
417,760,19682930.46,3837136.753,473
418,570,19681238.11,3837088.434,471
419,1113,19683525.87,3835177.882,1154
420,1467,19683199.57,3835768.324,1153
421,239,19685333.77,3837105.919,527
422,239,19684239.29,3837040.332,476
423,646,19687398.15,3837086.549,1202
424,223,19687273.57,3835111.167,543
425,361,19686149.15,3835939.895,526
426,388,19687639.62,3837054.997,524
427,199,19687656.05,3836102.476,521
428,331,19687703.64,3835352.16,1200
429,364,19688256.66,3835193.919,1199
430,352,19689449.32,3835412.188,547
431,199,19687752.36,3835634.808,542
432,218,19689448.78,3836217.76,540
433,199,19687761.73,3835874.823,538
434,218,19688997.52,3836503.695,537
435,352,19689705.25,3835104.191,523
436,323,19692158.64,3836667.693,1201
437,194,19691957.71,3837008.1,549
438,167,19689930.22,3836111.713,548
439,218,19689943.14,3836971.809,536
440,68,19693642.23,3836670.214,642
441,194,19693976.99,3835601.337,559
442,52,19692713.84,3835234.845,557
443,52,19692427.43,3835095.08,556
444,52,19692383.62,3835400.586,555
445,194,19692827.4,3835954.025,554
446,194,19692951.68,3836288.28,553
447,194,19692264.86,3836232.275,552
448,194,19692636.22,3836806.422,550
449,176,19695921.71,3834996.112,1213
450,68,19694739.63,3837063.108,643
451,107,19695430.64,3835011.105,569
452,107,19695064.98,3835062.983,561
453,107,19694696.38,3835366.707,560
454,137,19698556.87,3835452.062,969
455,150,19697402.21,3835827.562,968
456,150,19698622.58,3836897.737,967
457,83,19698909.6,3835136.535,743
458,83,19698139.9,3835083.376,741
459,95,19697400.48,3835203.714,740
460,83,19697886.8,3835297.294,739
461,95,19697245.01,3835767.188,737
462,119,19698936.77,3835806.896,736
463,89,19698250.26,3836162.287,734
464,95,19697369.87,3836110.054,228
465,95,19697142.83,3836300.061,227
466,95,19697602.13,3836674.595,226
467,89,19697985.27,3836743.908,225
468,89,19698895.61,3836558.241,224
469,95,19697230.33,3837043.151,219
470,53,19699911.42,3837108.335,223
471,70,19703881.9,3839453.215,44
472,56,19702208.61,3839310.324,964
473,32,19702604.17,3838022.785,213
474,32,19701677.62,3838241.614,212
475,32,19702470.28,3838767.725,210
476,86,19701395.04,3838564.91,209
477,32,19701887.54,3839155.994,194
478,32,19702312.35,3839159.623,193
479,32,19702565.77,3839357.102,192
480,86,19701619.4,3839420.296,185
481,70,19703485.61,3838784.066,46
482,153,19700387.43,3838700.136,965
483,53,19699277.04,3837415.904,222
484,71,19699191.44,3837649.961,216
485,86,19700612.03,3837800.776,215
486,86,19701151.55,3837753.615,214
487,86,19700446.7,3838328.007,208
488,86,19699469.09,3838598.194,206
489,71,19699086.06,3838542.567,205
490,86,19699977.8,3839032.67,197
491,86,19700917.13,3838866.146,196
492,86,19701165.97,3839131.871,195
493,86,19701220.06,3839384.145,184
494,86,19700783.73,3839482.565,183
495,71,19699364.89,3839384.574,182
496,77,19698416.06,3838352.799,966
497,119,19698653.37,3837338.55,221
498,89,19698365.9,3837318.696,220
499,71,19698054.32,3837622.849,217
500,53,19698470.08,3837900.102,204
501,53,19697625.72,3837970.341,203
502,53,19697367.75,3838209.951,202
503,53,19698317.75,3838780.894,199
504,71,19698841.16,3838877.036,198
505,53,19698619.39,3839144.54,181
506,53,19698263.22,3839471.323,180
507,68,19694957.04,3839443.53,662
508,68,19695060.5,3839065.01,661
509,68,19695405.87,3839436.547,660
510,68,19695599.59,3839081.718,659
511,68,19696414.04,3839424.172,658
512,68,19696227.59,3838951.565,657
513,68,19695530.41,3838917.488,656
514,68,19695141.3,3838624.935,655
515,68,19695665.84,3837924.115,653
516,68,19694832.62,3838157.959,652
517,68,19694569.03,3837539.833,645
518,68,19695124.85,3837569.65,644
519,53,19696300.58,3837621.712,218
520,53,19696420.48,3838298.478,201
521,104,19694171.62,3838983.38,1229
522,68,19692821.22,3839253.169,669
523,68,19692199.7,3838935.993,667
524,68,19692599.63,3838980.755,666
525,68,19692739.42,3839136.105,665
526,68,19693490.67,3839325.115,664
527,68,19694166.94,3839226.125,663
528,68,19694196.37,3838302.564,651
529,68,19693399.34,3838118.963,650
530,68,19692744.92,3837996.633,648
531,68,19693314.77,3837418.927,647
532,68,19693958.84,3837660.527,646
533,78,19690282.76,3839202.66,906
534,78,19689969.12,3839445.276,905
535,78,19690933.76,3839043.805,668
536,194,19691714.09,3837496.923,535
537,558,19688484.88,3837914.177,1203
538,334,19689044.7,3837704.551,533
539,334,19688662.73,3837652.46,532
540,334,19688216.26,3838144.414,530
541,400,19685690.35,3837564.047,1204
542,239,19685771.77,3837276.435,528
543,1196,19683751.17,3839334.278,1152
544,4090,19680522.52,3838840.949,1125
545,998,19678848.79,3838868.878,470
546,4317,19673847.46,3837756.239,1095
547,4287,19672312,3839423.939,1069
548,1215,19672057.21,3839211.42,394
549,6820,19669694.25,3839271.644,1269
550,1308,19670979.43,3838895.457,1067
551,2850,19669750.27,3838755.553,1066
552,1352,19669701.07,3837922.139,399
553,1048,19670945.81,3838669.356,397
554,1048,19671289.47,3838333.293,396
555,1215,19671695.29,3838448.84,395
556,2993,19667573.82,3838939.983,1077
557,5078,19668853.44,3839453.133,1076
558,1689,19669170.67,3838715.58,1065
559,1072,19668859.1,3838397.626,1064
560,1147,19667621.73,3838155.964,1063
561,858,19668923.81,3838811.712,416
562,1151,19667282.64,3837317.52,407
563,918,19667517.57,3837537.954,406
564,918,19668045.12,3837749.426,405
565,918,19668059.87,3838119.967,404
566,1352,19669478.35,3838188.761,402
567,858,19668382.73,3837913.803,401
568,918,19668279.83,3837621.53,400
569,1438,19667102.09,3837556.376,1061
570,1731,19666474.67,3837602.067,410
571,1703,19667222.01,3840164.586,1080
572,1182,19666711.99,3839535.134,1078
573,1170,19667487.48,3839557.953,1079
574,3078,19669177.9,3840015.419,1075
575,1034,19668742.49,3840763.49,415
576,1034,19668285.15,3840352.658,414
577,1034,19668177.39,3840461.907,413
578,1034,19667748.62,3840724.235,412
579,6162,19670459.68,3839544.063,1073
580,3626,19673987.37,3840614.277,1088
581,1640,19673687.57,3841583.612,1072
582,6135,19672727.96,3839717.142,1070
583,1454,19673710.49,3839745.206,393
584,972,19674337.13,3841703.53,1087
585,643,19678584.21,3840574.305,1093
586,5308,19677774.77,3841743.503,1089
587,2222,19679893.31,3839774.853,1092
588,2684,19678794.07,3841583.612,1090
589,1204,19682504.89,3841712.273,928
590,902,19682962.69,3840696.649,927
591,718,19685299.48,3840394.504,922
592,101,19685548.44,3841064.079,925
593,101,19685879.29,3841035.425,924
594,101,19686098.58,3840861.723,923
595,101,19687232.97,3840279.105,920
596,101,19686507.22,3840074.47,919
597,78,19689542.54,3839701.235,904
598,95,19689867.2,3840791.339,903
599,95,19689488.03,3840405.734,902
600,95,19688365.24,3839799.634,900
601,95,19688134.56,3840090.264,899
602,95,19688018.27,3840388.794,898
603,95,19689630.87,3841166.148,892
604,95,19689859.04,3841340.473,891
605,95,19689285.81,3841448.878,889
606,95,19688831.04,3841290.616,888
607,95,19688875.6,3841610.827,887
608,95,19689471.12,3841662.528,886
609,95,19687901.77,3841353.29,882
610,127,19692053.66,3840204.66,1185
611,78,19692174.09,3839893.552,915
612,78,19691683.81,3840049.971,914
613,78,19691995.08,3840441.457,913
614,78,19691920.2,3840679.421,912
615,78,19691122.02,3840159.167,911
616,78,19690840.65,3840541.436,909
617,78,19691249.03,3839850.805,908
618,78,19690883,3839825.526,907
619,151,19692181.16,3841669.986,897
620,78,19691474.02,3841483.724,896
621,78,19690989.27,3841386.818,895
622,78,19690598.07,3841158.949,894
623,95,19690199.9,3841163.163,893
624,95,19690012.21,3841583.615,890
625,78,19692246.26,3840786.509,917
626,78,19692740.02,3840514.048,916
627,124,19693029.74,3841367.297,698
628,124,19693732.34,3840841.611,682
629,124,19694241.31,3840996.747,681
630,68,19694258.81,3839626.705,675
631,68,19694200.56,3839991.205,674
632,68,19693972.51,3839624.072,673
633,68,19693605.57,3839521.597,672
634,68,19692753.32,3839882.682,671
635,68,19692994.22,3839625.07,670
636,167,19695016.7,3841675.932,696
637,91,19695596.82,3841656.005,695
638,91,19696062.74,3841585.339,694
639,91,19696490.28,3841357.758,693
640,68,19696584.25,3840805.387,688
641,68,19696352.41,3840688.322,687
642,68,19696315.63,3841097.157,685
643,91,19695633.02,3841238.56,684
644,68,19694640.45,3840758.633,683
645,68,19695008.14,3840329.801,679
646,68,19696378.54,3839987.361,678
647,68,19695607.56,3839779.848,677
648,68,19695162.34,3839611.974,676
649,146,19698788.31,3841664.447,1254
650,193,19698020.01,3841729.088,690
651,68,19697072.43,3840960.878,689
652,87,19697432.44,3839876.743,179
653,238,19698954.56,3840136.133,178
654,87,19698084.72,3840238.894,169
655,115,19698529.46,3840535.29,168
656,115,19698960.83,3840841.06,166
657,115,19698513.2,3841245.503,164
658,116,19700212.12,3840034.439,177
659,86,19700920.31,3839997.647,176
660,116,19700644.5,3840381.719,171
661,116,19699863.31,3840896.538,165
662,238,19700135.19,3841751.759,162
663,183,19700825.32,3841585.165,142
664,206,19702274.32,3841431.898,1255
665,146,19701590.97,3840786.577,963
666,70,19703144.35,3839585.608,191
667,32,19702744.73,3839952.243,190
668,123,19703154.62,3840143.388,189
669,123,19703414.38,3840298.454,188
670,44,19702165.78,3839989.391,187
671,116,19701724.07,3839873.181,186
672,116,19701421.77,3840177.975,175
673,164,19702594.74,3840867.478,173
674,116,19701810.29,3840461.918,172
675,116,19701559.99,3841187.36,141
676,183,19701261.44,3841212.481,140
677,151,19703464.25,3841349.708,32
678,164,19702971.45,3841535.985,24
679,70,19704209.1,3839562.022,45
680,70,19704062.26,3839829.666,43
681,251,19705074.84,3840004.965,42
682,70,19704302.08,3840018.647,41
683,70,19703848,3840016.022,40
684,251,19705291,3840604.201,39
685,251,19705778.14,3840637.845,38
686,70,19704089.59,3840837.326,35
687,70,19703861.45,3840668.309,34
688,151,19703632.23,3840786.582,33
689,151,19704663.92,3841394.248,31
690,251,19705592.16,3841391.304,30
691,151,19704913.33,3841421.052,29
692,251,19705226.35,3841624.667,28
693,151,19703654.32,3841717.25,25
694,335,19705855.78,3843486.092,11
695,255,19704011.01,3842633.498,1248
696,424,19705325.26,3843168.585,1246
697,342,19704133.05,3843412.66,1245
698,251,19705037.52,3842033.093,27
699,151,19704378,3841891.755,26
700,276,19704386.98,3842629.943,20
701,276,19704181.89,3842951.036,18
702,264,19703715.94,3843531.899,14
703,276,19704443.2,3843304.341,13
704,375,19704647.57,3843730.344,10
705,375,19704220.11,3843815.768,9
706,230,19701795.56,3842483.298,1252
707,328,19702687.37,3843018.385,1247
708,372,19701785.46,3843622.649,149
709,372,19702188.91,3843719.075,148
710,372,19701698.06,3843016.691,147
711,183,19702236.27,3842390.88,144
712,151,19703136.32,3841987.997,23
713,202,19702912.31,3842328.642,22
714,151,19703464.91,3842506.729,21
715,202,19703500.25,3842901.891,17
716,276,19703409.89,3843127.61,16
717,264,19702941.52,3843066.525,15
718,264,19703261.56,3843979.457,7
719,4162,19701047.64,3842997.398,1262
720,300,19700256.01,3841891.886,1253
721,476,19700180.91,3843675.51,1251
722,438,19699229.53,3843782.333,1228
723,463,19701204.19,3843317.714,971
724,351,19699103.75,3843955.085,716
725,351,19699156.44,3843417.817,713
726,238,19699586.51,3841962.404,163
727,115,19699115.64,3842366.969,161
728,381,19699450.65,3842407.248,160
729,115,19699108.43,3842803.558,159
730,381,19699502.5,3842762.212,158
731,238,19700309.19,3842680.8,157
732,381,19699779.64,3842901.336,156
733,372,19700765.17,3843277.933,155
734,238,19700520.93,3842943.963,154
735,381,19700388.69,3843577.603,152
736,238,19700630.41,3842111.633,145
737,372,19701030.13,3841882.13,143
738,112,19697133.53,3842349.931,1231
739,490,19696963.59,3843984.65,1226
740,387,19697140.82,3843999.492,720
741,351,19698309.54,3843677.405,715
742,351,19698627.77,3843742.235,714
743,351,19698703.4,3843361.794,712
744,258,19698387.2,3842920.011,711
745,91,19697247.64,3842721.323,710
746,167,19696921.18,3842705.371,709
747,167,19696744.15,3842917.948,708
748,91,19697210.5,3841904.578,692
749,193,19697678.49,3842271.142,691
750,208,19695304.59,3842107.151,1230
751,201,19694501.13,3843375.841,757
752,510,19695449.05,3843959.784,723
753,387,19696004.87,3843989.601,722
754,387,19696640.64,3843973.518,721
755,167,19696180.71,3842776.191,707
756,167,19695850.56,3842264.881,702
757,167,19695427.6,3842424.216,701
758,167,19694460.02,3842040.29,700
759,6248,19693311.11,3843969.286,1260
760,126,19693303.96,3844013.763,1218
