Id,POP,POINT_X,POINT_Y
98,78,19700387.433830,3838700.136284
99,150,19667573.817473,3838939.982513
100,117,19676714.429902,3839248.171932
101,59,19667487.483324,3839557.953064
102,132,19683751.168923,3839334.277989
103,37,19703701.220636,3839272.773657
104,32,19678584.212744,3840574.304880
105,59,19666711.991997,3839535.133852
106,46,19701590.973799,3840786.576996
107,192,19672092.876111,3838792.473954
108,39,19702274.320947,3841431.898212
109,100,19704011.008035,3842633.497949
110,82,19692053.657294,3840204.659496
111,87,19674337.126981,3841703.530007
112,59,19697133.532831,3842349.930782
113,88,19700256.008875,3841891.885598
114,220,19682360.524386,3841222.136156
115,48,19701795.558569,3842483.298023
116,155,19669177.899263,3840015.418843
117,97,19695304.589296,3842107.150629
118,53,19698788.311528,3841664.446686
119,265,19668591.069760,3840574.304880
120,49,19697902.017204,3843180.812192
121,72,19704133.045547,3843412.660261
122,131,19678794.068740,3841583.612327
123,160,19705325.257779,3843168.585320
124,69,19702687.370847,3843018.385373
125,290,19679843.348740,3841413.728864
126,113,19689009.281628,3841924.691364
127,117,19674926.722457,3842762.803176
128,40,19675655.161233,3842468.702885
129,139,19700180.908911,3843675.510235
130,43,19691896.126122,3844230.333270
131,145,19699229.534505,3843782.333486
132,117,19704255.082976,3844173.047665
133,70,19683276.191649,3843426.811626
134,73,19702537.170859,3844417.122606
135,168,19682166.300309,3844314.183782
136,59,19691326.883235,3844791.411177
137,226,19681319.483233,3843894.659754
138,54,19688791.249392,3844113.088732
139,102,19690026.765274,3844436.099430
140,16,19678021.703514,3844835.149088
141,60,19686749.988969,3844780.321641
142,67,19676815.426441,3844421.664948
143,29,19690075.216848,3845219.400377
144,131,19695021.873122,3844521.747742
145,167,19704867.937185,3845483.004713
146,87,19698922.013048,3845926.891237
147,70,19688872.002076,3845106.346582
148,42,19688152.160795,3845865.421731
149,1,19684565.919460,3830264.564654
150,1,19691969.786142,3834488.221190
151,261,19669274.742579,3841140.738744
152,226,19683867.703378,3845394.069808
153,213,19702875.120816,3846285.234670
154,79,19703370.957860,3846820.322020
155,105,19686367.437860,3846784.178233
156,205,19680027.290758,3846229.963553
157,218,19703804.483116,3848378.646706
158,156,19677332.762081,3848608.601329
159,279,19679514.080973,3849680.545001
160,163,19686113.360031,3851142.136175
161,186,19682344.762015,3850059.205682
162,63,19685900.464684,3852276.084519
163,82,19688739.506520,3852402.827701
164,101,19683472.132694,3852536.308896
165,172,19689037.272352,3855390.753202
166,104,19693832.328032,3855863.071265
167,217,19669170.672067,3838715.580260
168,84,19691423.786465,3832686.585883
169,310,19693303.960984,3844013.762993
170,234,19705297.095262,3846322.784693
171,122,19684815.516950,3845471.759410
172,102,19691892.151966,3846272.870688
173,150,19686703.375199,3846202.042032
174,147,19676366.892559,3846156.251826
175,87,19697878.058539,3846509.563489
176,153,19699868.855530,3845901.838239
177,84,19701457.608612,3846698.284591
178,133,19696615.601904,3845328.033571
179,135,19704480.382948,3846829.709547
180,136,19682548.352907,3846624.150254
181,98,19678230.055122,3846236.103649
182,126,19691504.539088,3846995.959070
183,161,19676935.454026,3846635.761518
184,200,19679416.517979,3845879.094043
185,86,19703556.139497,3847650.699496
186,105,19694290.506257,3847125.163370
187,86,19697934.707229,3847990.522208
188,148,19684558.271906,3847512.153202
189,90,19679139.287768,3847715.744156
190,123,19699399.480617,3847966.244201
191,69,19684597.257362,3848369.834146
192,123,19688952.754699,3848078.044897
193,134,19685973.009877,3847234.289507
194,122,19704442.832946,3847646.421881
195,41,19691819.474533,3847851.937450
196,81,19706332.379438,3848237.834224
197,26,19688667.632022,3849096.600829
198,90,19701673.521058,3848894.959086
199,76,19691262.281116,3848756.367342
200,368,19679672.811020,3848823.127716
201,117,19676079.186776,3848327.745624
202,175,19685736.500252,3849075.904798
203,77,19699880.508957,3849617.796466
204,58,19698715.752610,3849224.732843
205,101,19694274.355753,3849814.227310
206,172,19677497.165396,3849314.165601
207,86,19680577.419486,3850258.464880
208,136,19686456.847708,3850108.599150
209,170,19705456.682735,3850346.474163
210,95,19680027.290758,3850154.503597
211,39,19692215.162643,3850040.334757
212,69,19674154.297871,3849862.176695
213,150,19690826.216664,3849289.334962
214,74,19697157.226071,3850193.764834
215,98,19682014.033048,3849834.467239
216,113,19695073.807204,3850791.334635
217,80,19680534.102233,3850475.050978
218,66,19680063.741003,3850533.645632
219,105,19689047.540131,3851088.551143
220,56,19690751.992495,3851447.923631
221,78,19665742.328003,3849971.778865
222,63,19671297.353428,3850011.553324
223,76,19666427.341819,3850314.285793
224,18,19690669.850136,3852289.882044
225,50,19686577.532386,3851805.031842
226,25,19692220.285725,3851951.045115
227,29,19666317.739649,3851328.106282
228,88,19694764.371303,3852246.197802
229,96,19667030.153997,3850136.182180
230,141,19677887.623313,3850738.994359
231,60,19688452.008550,3851643.011565
232,144,19687271.213269,3851920.241776
233,83,19685330.601812,3852372.024300
234,58,19682329.883471,3852177.748650
235,159,19683817.547411,3850877.901150
236,29,19693976.077028,3853501.480683
237,86,19688564.954206,3852947.020261
238,16,19696799.717995,3853419.338406
239,44,19694975.885337,3853512.703856
240,87,19678424.123535,3851555.638314
241,218,19674969.464333,3852102.171895
242,59,19682032.944080,3852322.197866
243,93,19679878.407893,3851755.957222
244,42,19687486.215586,3852900.592421
245,66,19681459.646801,3851591.672626
246,168,19685535.957526,3853450.141806
247,108,19691234.578337,3853029.162600
248,162,19670561.089683,3851823.971188
249,147,19677880.773134,3851526.760289
250,134,19688595.757524,3853809.514274
251,128,19692353.766941,3854600.133748
252,36,19674565.306202,3854616.172662
253,74,19695998.830700,3855113.522991
254,88,19675551.726097,3852602.231980
255,28,19676956.004482,3854396.968240
256,110,19684240.426206,3853295.528162
257,73,19684515.537058,3853728.923828
258,115,19686336.844820,3854096.737325
259,86,19684539.982358,3854384.510255
260,92,19680627.956188,3855031.380734
261,54,19695680.529392,3856263.514933
262,68,19690238.603170,3855678.251172
263,118,19694643.483045,3856263.514933
264,136,19678380.833240,3854876.477953
265,52,19692025.197853,3855596.108915
266,98,19687436.470805,3856024.078308
267,43,19693010.905199,3855565.305515
268,106,19686901.572960,3855113.522991
269,113,19696840.789093,3857054.134386
270,157,19667222.009151,3840164.586016
271,178,19669770.686281,3840244.944219
272,312,19670459.684239,3839544.062811
273,211,19672311.996043,3839423.938531
274,309,19672727.955540,3839717.141679
275,110,19674347.120150,3842263.146037
276,261,19676285.789836,3843102.570020
277,30,19681055.338451,3825940.584331
278,130,19673078.826179,3853554.401185
279,119,19671660.847559,3853335.196784
280,109,19679893.314524,3839774.853408
281,214,19680522.517022,3838840.948767
282,82,19673687.572697,3841583.612327
283,166,19673567.654996,3840094.634018
284,140,19668859.097944,3838397.626093
285,595,19668853.436428,3839453.133020
286,149,19669750.274374,3838755.552813
287,48,19674830.456204,3829337.563734
288,39,19673470.887521,3829133.628454
289,37,19678860.606159,3831929.160615
290,312,19679961.209379,3831048.678047
291,74,19681281.259681,3842674.932441
292,52,19682515.903631,3843001.228909
293,143,19684217.306782,3832373.286367
294,48,19683237.697061,3833205.615149
295,34,19692497.796957,3831943.661278
296,52,19692631.058772,3844215.891186
297,3042,19681330.624894,3848469.990612
